tag	description
E4152B02	Interruptor Distribuidor 1 Barra 2- E.Rios (calle)
E4152B03	Interruptor Distribuidor 2 Barra 2: Calle
E4152B04	Interruptor Acoplamiento Barra 1-2 13,2KV
E4152B05	Interruptor Distribuidor 3 Barra 1- E.Rios (vereda)
E4152B06	Interruptor Distribuidor 4 Barra 1- Parana (vereda)
E4152B07	Interruptor Alimentador TR1 13.2KV
E4181_04	Relé de Frecuencia Acoplamiento Barra 1-2 13,2KV
E4189I01	Seccionador Linea Inf Alimentador Trafo 2 13,2KV
E4189I02	Seccionador Linea Inf Distribuidor 1 Barra 2- E.Rios (calle)
E4189I03	Seccionador Linea Inf Distribuidor 2 Barra 2: Calle
E4189I04	Seccionador Linea Inf Acoplamiento Barra 1-2 13,2KV
E4189I05	Seccionador Linea Inf Distribuidor 3 Barra 1- E.Rios (vereda)
E4189I06	Seccionador Linea Inf Distribuidor 4 Barra 1- Parana (vereda)
E4189I07	Seccionador Linea Inf Alimentador Trafo 1 13,2KV
E4189S01	Seccionador Linea Sup Alimentador Trafo 2 13,2KV
E4189S02	Seccionador Linea Sup Distribuidor 1 Barra 2- E.Rios (calle)
E4189S03	Seccionador Linea Sup Distribuidor 2 Barra 2: Calle
E4189S04	Seccionador Linea Sup Acoplamiento Barra 1-2 13,2KV
E4189S05	Seccionador Linea Sup Distribuidor 3 Barra 1- E.Rios (vereda)
E4189S06	Seccionador Linea Sup Distribuidor 4 Barra 1- Parana (vereda)
E4189S07	Seccionador Linea Sup Alimentador Trafo 1 13,2KV
E4189T01	Seccionador PAT Alimentador Trafo 2 13,2KV
E4189T02	Seccionador PAT Distribuidor 1 Barra 2- E.Rios (calle)
E4189T03	Seccionador PAT Distribuidor 2 Barra 2: Calle
E4189T05	Seccionador PAT Distribuidor 3 Barra 1- E.Rios (vereda)
E4189T06	Seccionador PAT Distribuidor 4 Barra 1- Parana (vereda)
E4189T07	Seccionador PAT Alimentador Trafo 1 13,2KV
E41BAR01	Barra de Tensión 2- 13,2kV
